line,1,2,3,4,5,6,7,10
1,1,0,0,0,0,0,0,0
2,0,1,0,0,0,0,0,0
3,0,0,1,0,0,0,0,0
4,1,0,0,0,0,0,0,0
5,3,0,0,0,0,0,0,0
6,1,1,0,0,0,0,0,0
7,1,1,0,0,0,0,0,0
8,0,0,1,0,0,0,0,0
9,1,1,1,0,0,0,0,0
10,2,0,0,0,0,0,0,0
11,2,1,0,0,0,0,0,0
12,2,1,0,1,0,0,0,0
13,2,1,0,0,0,0,0,0
14,3,1,0,0,0,0,0,0
15,1,2,0,1,0,0,0,0
16,2,3,0,0,0,0,0,0
17,2,1,1,1,0,0,0,0
18,2,2,0,0,0,0,0,0
19,4,0,1,0,1,0,0,0
20,6,2,0,0,0,0,0,0
21,4,2,1,0,0,0,0,0
22,2,1,0,2,0,0,0,0
23,7,1,1,0,0,0,0,0
24,4,1,1,0,0,0,0,0
25,4,0,1,1,0,1,0,0
26,2,3,1,0,0,0,0,0
27,4,2,2,0,0,0,0,0
28,3,4,1,0,0,0,0,0
29,6,0,0,1,0,1,0,0
30,4,4,0,1,0,0,0,0
31,3,0,2,0,1,0,1,0
32,5,2,2,0,0,0,0,0
33,6,5,0,0,0,0,0,0
34,7,3,1,0,0,0,0,0
35,7,1,2,0,0,0,0,0
36,5,0,1,1,1,0,0,0
37,9,2,3,0,0,0,0,0
38,5,2,1,0,1,0,0,0
39,5,2,0,0,1,1,0,0
40,6,3,2,1,0,0,0,0
41,6,6,1,0,0,0,0,0
42,6,3,1,1,0,0,0,0
43,6,3,1,1,1,0,0,0
44,5,5,1,1,0,0,0,0
45,9,0,0,1,0,1,0,0
46,7,3,2,0,0,0,0,0
47,7,5,1,1,0,0,0,0
48,3,5,3,1,1,0,0,0
49,8,3,2,0,1,0,0,0
50,11,1,1,2,0,0,0,0
51,8,1,3,0,0,0,0,0
52,4,2,3,2,1,0,0,0
53,3,4,1,1,0,1,0,0
54,6,8,0,0,2,0,0,0
55,6,4,0,0,1,2,0,0
56,5,4,2,0,1,0,0,1
57,8,2,3,2,0,0,0,0
58,9,5,2,0,0,0,0,0
59,9,3,3,1,1,0,0,0
60,4,3,1,2,1,1,0,0
61,10,4,1,2,0,0,0,0
62,8,5,1,2,1,0,0,0
63,4,5,1,2,1,1,0,0
64,10,2,1,2,1,0,0,0
65,9,7,2,0,0,0,0,0
66,9,4,3,3,0,0,0,0
67,6,5,3,0,0,1,0,0
68,10,3,2,0,1,1,0,0
69,5,4,2,1,0,2,0,0
70,8,8,2,1,0,0,0,0
